SID,model
SID-111381,Senographe Essential VERSION ADS_54.11
SID-111428,Senographe Essential VERSION ADS_54.11
SID-111447,Senograph DS VERSION ADS_54.11
SID-111457,Senographe Essential VERSION ADS_54.11
SID-111467,Senographe Essential VERSION ADS_54.11
SID-111476,Senographe Essential VERSION ADS_54.11
SID-111483,Senographe Essential VERSION ADS_54.11
SID-111485,Senograph DS VERSION ADS_54.11
SID-111497,Senographe Essential VERSION ADS_54.11
SID-111536,Senographe Essential VERSION ADS_54.11
SID-111561,Senograph DS VERSION ADS_54.11
SID-111576,Senograph DS ADS_43.10.1
SID-111582,Senographe Essential VERSION ADS_54.11
SID-111595,Senograph DS VERSION ADS_54.11
SID-111606,Senograph DS VERSION ADS_54.11
SID-111627,Senographe Essential VERSION ADS_54.11
SID-111651,Senographe Essential VERSION ADS_54.11
SID-111657,Senographe Essential VERSION ADS_54.11
SID-111674,Senographe Essential VERSION ADS_54.11
SID-111706,Senograph DS VERSION ADS_54.11
SID-111713,Senograph DS ADS_43.10.1
SID-111724,Senographe Essential VERSION ADS_54.11
SID-111762,Senographe Essential VERSION ADS_54.11
SID-111773,Senographe Essential VERSION ADS_54.11
SID-111785,Senographe Essential VERSION ADS_54.11
SID-111795,Senograph DS VERSION ADS_54.11
SID-111803,Senograph DS VERSION ADS_54.11
SID-111838,Senographe Essential VERSION ADS_54.11
SID-111878,Senograph DS VERSION ADS_54.11
SID-111927,Senograph DS VERSION ADS_54.11
SID-111930,Senograph DS VERSION ADS_54.11
SID-111931,Senographe Essential VERSION ADS_54.11
SID-111933,Senograph DS ADS_43.10.1
SID-111954,Senograph DS VERSION ADS_54.11
SID-111970,Senograph DS VERSION ADS_54.11
SID-111994,Senographe Essential VERSION ADS_54.11
SID-112015,Senographe Essential VERSION ADS_54.11
SID-112037,Senograph DS VERSION ADS_54.11
SID-112059,Senograph DS VERSION ADS_54.11
SID-112067,Senographe Essential VERSION ADS_54.11
SID-112071,Senograph DS VERSION ADS_54.11
SID-112092,Senograph DS VERSION ADS_54.11
SID-112096,Senographe Essential VERSION ADS_54.11
SID-112102,Senographe Essential VERSION ADS_54.11
SID-112134,Senograph DS VERSION ADS_54.11
SID-112140,Senographe Essential VERSION ADS_54.11
SID-112141,Senograph DS VERSION ADS_54.11
SID-112144,Senograph DS VERSION ADS_54.11
SID-112148,Senographe Essential VERSION ADS_54.11
SID-112150,Senographe Essential VERSION ADS_54.11
SID-112155,Senograph DS VERSION ADS_54.11
SID-112158,Senographe Essential VERSION ADS_54.11
SID-112161,Senograph DS VERSION ADS_54.11
SID-112179,Senograph DS VERSION ADS_54.11
SID-112180,Senograph DS VERSION ADS_54.11
SID-112181,Senographe Essential VERSION ADS_54.11
